data_hora,token,SKU,GMV,Quantity,Brand
"May 29, 2025, 10:03:53 AM",35250593209765058972590014014450918360850983,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 29, 2025, 10:03:53 AM",35250593209765058972590014014450918360850983,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 20, 2025, 11:51:49 AM",35250593209765058972590014010740551194270376,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 20, 2025, 9:11:00 AM",35250593209765058972590014010740550956128696,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 20, 2025, 9:11:00 AM",35250593209765058972590014010740550956128696,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 15, 2025, 9:02:30 AM",35250593209765058972590014010740545614085423,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 8, 2025, 6:09:22 PM",35250593209765058972590014010740537699810038,,,,
"May 7, 2025, 12:39:05 PM",35250593209765058972590014010740535486333260,,,,
"May 7, 2025, 12:39:05 PM",35250593209765058972590014010740535486333260,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 13, 2025, 11:08:44 AM",35250593209765058972590014010740543673113920,,,,
"May 26, 2025, 7:20:02 PM",35250593209765058972590014010740558165478123,,,,
"May 16, 2025, 11:00:27 AM",35250593209765058972590014010740547211800171,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 2, 2025, 10:30:26 AM",35250593209765059006590014013770564373708222,,,,
"May 26, 2025, 9:38:05 AM",35250593209765058972590014010740557437500540,,,,
"May 16, 2025, 10:11:43 AM",35250593209765058972590014010740547127028765,,,,
"May 18, 2025, 2:11:35 PM",35250593209765058972590014010740549841289367,,,,
